"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-01","1965","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-02","1965","02","5.0","","0.8","","2.9","","11.1","","-2.2","","348.7","","14.5","","363.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-03","1965","03","9.4","","2.5","","6.0","","17.2","","-3.3","S","58.7","","7.1","","65.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-04","1965","04","11.4","","5.1","","8.3","","20.0","","1.1","","89.9","","0.0","T","89.9","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-05","1965","05","13.5","","6.4","","10.0","","21.1","","0.0","","94.2","","0.0","T","94.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-06","1965","06","18.8","","10.4","","14.6","","26.7","","6.7","","13.5","","0.0","","13.5","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-07","1965","07","22.3","","13.9","","18.1","","33.3","","8.9","S","18.8","","0.0","","18.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-08","1965","08","20.4","","13.0","","16.7","","33.9","","7.8","","72.4","","0.0","","72.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-09","1965","09","17.1","","10.0","","13.6","","22.2","S","6.1","","18.5","","0.0","","18.5","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-10","1965","10","14.7","","9.1","","11.9","","21.1","","4.4","","288.0","","0.0","","288.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-11","1965","11","9.1","","5.0","","7.1","","15.6","","0.6","S","231.4","","0.0","","231.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1965-12","1965","12","4.2","","0.7","","2.5","","10.6","","-5.0","S","182.6","","68.6","","251.2","","53","","","","",""
